code,system
760K.00,readv2
760K.12,readv2
760K400,readv2
760K500,readv2
760Ky00,readv2
760Kz00,readv2
760L312,readv2
760K.11,readv2
760K011,readv2
760K012,readv2
760K100,readv2
760K300,readv2
J34..00,readv2
110120.0,med
12086.0,med
24703.0,med
256.0,med
31732.0,med
33779.0,med
34691.0,med
44233.0,med
48153.0,med
4987.0,med
60697.0,med
62920.0,med
63180.0,med
68880.0,med
J34..11,readv2
J348.00,readv2
J34..12,readv2
J34..13,readv2
J34y.00,readv2
J340.00,readv2
J344.00,readv2
J341.00,readv2
J345.00,readv2
J342.00,readv2
J346.00,readv2
J343.00,readv2
J347.00,readv2
1178.0,med
18664.0,med
22845.0,med
30980.0,med
37471.0,med
47416.0,med
60094.0,med
61616.0,med
63539.0,med
72571.0,med
8270.0,med
94728.0,med
K44,icd10
G23,opcs4
G23.8,opcs4
G23.9,opcs4
G23.1,opcs4
G23.2,opcs4
G23.3,opcs4
G23.4,opcs4